algorithm,training_seed,disturbance_type,disturbance_level,num_episodes,success_rate,mean_episode_return,std_episode_return,mean_final_goal_distance,std_final_goal_distance,mean_episode_length,std_episode_length,mean_payload_stability,std_payload_stability,mean_control_effort,std_control_effort,mean_force_imbalance,std_force_imbalance
independent_ddpg,7,observation_noise,0.2,20,1.0,11.050734007115846,0.09352506112872379,0.18593437941657562,0.008904740221952367,71.1,24.050166866693242,0.30745444418551926,0.18174555322892402,263.9680508441656,85.13129406498841,0.2501976051619922,0.07030512314520755
independent_ddpg,11,action_deadzone,0.0,20,1.0,11.143052076213598,0.02171002680661237,0.1781028843139682,0.011580398357756391,58.95,0.8255779474818972,1.226671519687831,0.026775868788650736,179.48145611926756,2.31450088098352,0.39947607603702007,0.06521891352973841
independent_ddpg,11,action_deadzone,0.05,20,1.0,11.143057027287387,0.021741901226279205,0.17809340045060945,0.011582121021674458,58.95,0.8255779474818972,1.226704447913273,0.026774641771742318,179.4861241606772,2.319535830701142,0.3995363107448456,0.06524818075044143
independent_ddpg,11,action_deadzone,0.1,20,1.0,11.143088017278888,0.02168330158668719,0.17802380403065995,0.011588663197032894,58.95,0.8255779474818972,1.226859495344437,0.026580597971358755,179.52463414516677,2.291345684998069,0.3995902249257698,0.06528082298938158
independent_ddpg,11,action_deadzone,0.2,20,1.0,11.142754014945194,0.021573014457871183,0.17840029899543547,0.011309819873997309,58.95,0.8255779474818972,1.2266442327942777,0.027149896014831896,179.4821698784475,2.261724207057807,0.3992507151455763,0.06503009985812726
independent_ddpg,11,action_deadzone,0.3,20,1.0,11.14174737859571,0.02236843986914116,0.1798992741013467,0.012380091510060715,58.95,0.8255779474818972,1.2255067142076492,0.02980031568589886,178.9898602935641,2.519608040995919,0.3973887063998297,0.06346958720469915
independent_ddpg,11,observation_noise,0.0,20,1.0,11.143052076213598,0.02171002680661237,0.1781028843139682,0.011580398357756391,58.95,0.8255779474818972,1.226671519687831,0.026775868788650736,179.48145611926756,2.31450088098352,0.39947607603702007,0.06521891352973841
independent_ddpg,11,observation_noise,0.02,20,1.0,11.127214362948417,0.02211878900451846,0.18256923559221644,0.011829097172146422,58.95,0.8870412083230175,1.2133766534451849,0.039793792906485416,190.8529607742893,5.8909713082009665,0.388889101692238,0.062391606203556625
independent_ddpg,11,observation_noise,0.05,20,1.0,11.117180586690873,0.02536890392777184,0.18574506331588758,0.010302836748620961,60.15,1.6944180805158302,1.172545716966907,0.06321365890910818,197.71090282098152,4.563322048109051,0.3694214051843079,0.05757468803811347
independent_ddpg,11,observation_noise,0.1,20,1.0,11.109572548958932,0.027733702024081958,0.18436702842175778,0.01155918875931004,61.45,4.684520983206848,1.1278397083938305,0.06506861595798197,206.69689807599948,13.491062965194159,0.34229830161164976,0.06084738799670975
independent_ddpg,11,observation_noise,0.2,20,0.95,10.499783198394926,2.6366423527042158,0.22995962756768457,0.21077218377312676,77.4,56.6915941044637,1.028372194030792,0.12898251229415558,270.8936712062704,196.84349395781481,0.31990614311714916,0.07413321453997589
independent_ddpg,19,action_deadzone,0.0,20,0.7,7.218038193502162,5.860232719187371,0.7656864076426,0.9022553795338807,174.85,97.23453739879618,1.3550138280174844,0.5084653033040963,516.9118659276917,303.04807093375575,0.39100963282578094,0.07405218466340074
independent_ddpg,19,action_deadzone,0.05,20,0.7,7.204870421636315,5.88129591009476,0.7779773963339554,0.922064263127926,174.85,97.23453739879618,1.3551771652959197,0.509215688808514,517.7886681853963,304.15955276492025,0.3886215304405759,0.07309416832565417
independent_ddpg,19,action_deadzone,0.1,20,0.7,7.212424520524564,5.873838509733245,0.7728679380048518,0.913145687531205,174.25,97.19263292419257,1.351803674825957,0.5128450230809952,515.3441081930957,302.32181036866245,0.38906641818269716,0.07760344005189208
independent_ddpg,19,action_deadzone,0.2,20,0.65,6.56044109193108,6.178540814231273,0.8952267008611587,0.9903616570436182,179.9,100.92149111275087,1.372634678225285,0.5295007511832088,544.9687074026823,331.94269760296396,0.3994142808312052,0.08743717296216764
independent_ddpg,19,action_deadzone,0.3,20,0.65,6.624062450029237,6.126468231624245,0.8450960938622174,0.9180669495262181,176.35,100.62660263516172,1.3569034819586265,0.5287403072365032,531.4779404816653,336.26765818483574,0.3886760733060451,0.07722501366958588
independent_ddpg,19,observation_noise,0.0,20,0.7,7.218038193502162,5.860232719187371,0.7656864076426,0.9022553795338807,174.85,97.23453739879618,1.3550138280174844,0.5084653033040963,516.9118659276917,303.04807093375575,0.39100963282578094,0.07405218466340074
independent_ddpg,19,observation_noise,0.02,20,0.55,5.265758593723649,6.415631021913065,1.0553418803298613,1.027168842482922,201.55,102.34794883913868,1.4353618871501668,0.5391918565510336,679.5360260586142,357.6092414033789,0.44154453029549234,0.12972865301374342
independent_ddpg,19,observation_noise,0.05,20,0.6,5.923030951710461,6.35036503466613,0.9566098868621149,0.9620366503989212,181.5,105.47212153480478,1.3992739835472936,0.5587408553501568,620.995659928278,366.61916637878795,0.3923294338221971,0.081511269694644
independent_ddpg,19,observation_noise,0.1,20,1.0,10.988652700933653,0.18699773981459758,0.18799158118004242,0.008129420963532146,89.05,52.277070549746355,1.0800221995965977,0.25000096791885046,323.99223186672634,192.94959713780898,0.38517926052398865,0.06770628622382027
